"doaj_publishers","Freq"
"University of Lincoln",1
"University of Life Sciences in Poznan",1
"University of Life Sciences in Lublin - Publishing House",1
"University of Liège Library",1
"University of Leipzig",1
"University of Latvia",1
"University of Lapland",1
"University of L'Aquila",1
"University of KwaZulu-natal",1
"University of Kurdistan Hewler",1
"University of Kuningan and Association of Indonesian Scholars of English Education (AISEE)",1
"University of Kragujevac, Faculty of Technical Sciences Cacak, Serbia",1
"University of Kragujevac, Faculty of Science",1
"University of Kragujevac, Faculty of Hotel Management and Tourism in Vrnjacka Banja",1
"University of Kragujevac, Faculty of Agronomy, Cacak",1
"University of Kragujevac - Faculty of Pedagogy, Užice",1
"University of Konstanz",1
"University of Kinshasa",1
"University of Kerbala",1
"University of Kent",1
"University of Kashan",1
"University of Kansas, Department of Linguistics",1
"University of Kansas Libraries",1
"University of Information Technology and Communications",1
"University of Illinois at Chicago ",1
"University of Human Development",1
"University of Huelva",1
"University of Hradec Králové, Philosophical Faculty ",1
"University of Hawaii",1
"University of Hawai‘i Press",1
"University of Haripur",1
"University of Guelph Library",1
"University of Guantanamo",1
"University of Guam Press",1
"University of Greenwich, Educational Development Unit",1
"University of Graz",1
"University of Glasgow",1
"University of Ghent",1
"University of Ghana",1
"University of Geneva",1
"University of Gdansk",1
"University of Garmian",1
"University of Fribourg - Division of Sociology, Social Work and Social Policy",1
"University of Florida, College of Journalism and Communications",1
"University of Florida",1
"University of Finance and Management, Warsaw; Vistula University",1
"University of Finance and Administration",1
"University of Faisalabad",1
"University of Extremadura",1
"University of Exeter",1
"University of Electronic Science and Technology of China",1
"University of Economics Varna",1
"University of Economics Prague",1
"University of Economics and Human Sciences in Warsaw",1
"University of East Sarajevo, Faculty of Technology",1
"University of DR Soetomo",1
"University of Diponegoro, Faculty of Law",1
"University of Deusto",1
"University of Defence in Belgrade",1
"University of Debrecen, Faculty of Economics and Business",1
"University of Darussalam Gontor",1
"University of Cordoba",1
"University of Copenhagen ",1
"University of Colombo School of Computing ",1
"University of Chitral",1
"University of Chemistry and Technology, Prague",1
"University of Central Punjab",1
"University of Castilla La Mancha; Complutense University of Madrid; Association of Speech and Language Therapist of Castilla La Mancha",1
"University of Cape Town",1
"University of Canterbury",1
"University of Cambridge",1
"University of California Agriculture and Natural Resources",1
"University of California",1
"University of Bussiness Engineering and Management",1
"University of Borås",1
"University of Birmingham",1
"University of Bielefeld",1
"University of Bialystok",1
"University of Bern",1
"University of Bengkulu",1
"University of Belgrade, University of Novi Sad",1
"University of Belgrade, Technical Faculty in Bor",1
"University of Belgrade, Technical Faculty Bor",1
"University of Belgrade, Teacher Education Faculty",1
"University of Belgrade, Medical Faculty",1
"University of Belgrade, Faculty of Sport and Physical Education",1
"University of Belgrade, Faculty of Political Science",1
"University of Belgrade, Faculty of Philosophy, Institute of Psychology",1
"University of Belgrade, Faculty of Philology; National Council of the Slovenian National Minority",1
"University of Belgrade, Faculty of Philology ",1
"University of Belgrade, Faculty of Organisational Sciences",1
"University of Belgrade, Faculty of Law, Belgrade, Serbia",1
"University of Belgrade, Faculty of Geography",1
"University of Belgrade - Faculty of Security Studies, Belgrade",1
"University of Belgrade - Faculty of Mechanical Engineering, Belgrade",1
"University of Belgrade - Faculty of Law, Belgrade & Institute of Comparative Law, Belgrade",1
"University of Belgrade - Faculty of Geography, Belgrade",1
"University of Belgrade - Faculty of Agriculture, Belgrade",1
"University of Basrah",1
"university of basrah",1
"University of Banja Luka, Faculty of Philology",1
"University of Banja Luka, Faculty of Economics ",1
"University of Banja Luka",1
"University of Bamberg Press",1
"University of Bahrain",1
"University of Baghdad/College of Engineering",1
"University of Bacau",1
"University of Babylon, Iraq Babil Engineering Collage",1
"University of Babylon",1
"University of August 20, 1955 - Skikda, Algeria",1
"University of Arizona",1
"University of Applied Sciences Rotterdam",1
"University of Alberta, Canadian Institute of Ukrainian Studies",1
"University of Al-Qadisiyah",1
"University of Al-Qadisiya",1
"University of Akureyri",1
"University of Akron Press",1
"University of Agriculture, Faisalabad",1
"University of Agriculture in Krakow",1
"University of Agricultural Sciences and Veterinary Medicine, Cluj-Napoca",1
"University of Agricultural Sciences and Veterinary Medicine, Bucharest",1
"University of Aberdeen, School of Education",1
"University of A Coruña",1
"University of A Coruna",1
"University of  Kurdistan",1
"University North",1
"UNIVERSITY MOHAMMED V",1
"University mohammed V",1
"University Merdeka Malang",1
"University Library Heidelberg",1
"University La Sapienza of Rome",1
"University in Nis, Faculty of Medicine",1
"University in Belgrade",1
"University Ibn Zohr",1
"University Hospital for Tumors",1
"University Educons, Faculty of Sports and Tourism, Novi Sad",1
"University Dzon Nezbit",1
"University Constantin Brancusi of Targu-Jiu",1
"University College of Northern Denmark",1
"University College of Music Education in Stockholm (SMI)",1
"University College of Medical Sciences",1
"University Business Academy, Faculty of Economics and Engineering Management, Novi Sad, Serbia ",1
"University Business Academy - Faculty of Economics and Engineering Management, Novi Sad, Serbia",1
"University Babes-Bolyai",1
"University at Buffalo",1
"University Amar Telidji of Laghouat",1
"Universiti Teknologi MARA, Negeri Sembilan",1
"Universiti Teknologi Malaysia",1
"Universiti Teknikal Malaysia Melaka",1
"Universiti Sultan Azlan Shah",1
"Universiti Sains Malaysia ",1
"Universiti Malaysia Sarawak",1
"Universitet Europian i Tiranës ",1
"Üniversite ve Arastirma Kütüphanecileri Dernegi",1
"Université Toulouse - Jean Jaurès",1
"Université Sétif 2",1
"Université Sétif 1",1
"Université Saint-Louis Bruxelles",1
"Université Saad Dahlab",1
"Université Paul-Valéry Montpellier III",1
"Université Paris XIII",1
"Université Paris 3",1
"Université Mohammed V de Rabat",1
"Université Mentouri",1
"Université Marc Bloch",1
"Université Lille 1",1
"Université Lille-3",1
"Université Jean Moulin - Lyon 3",1
"Université du Sud Toulon-Var",1
"Université du Québec à Montréal",1
"Université Djillali LIABES Sidi-Bel-Abbès",1
"Université des Sciences et Technologies de Lille",1
"Université des Réseaux d'Expression Française",1
"Université des Antilles",1
"université de tlemcen",1
"Université de Reims Champagne-Ardennes",1
"Université de Poitiers",1
"Université de Montréal",1
"Université de Lille",1
"Université de Liège",1
"Université de liège",1
"Université de Genève",1
"Université d'Ottawa",1
"Université d'Aix-Marseille",1
"Université Catholique de Louvain",1
"Université Bordeaux Montaigne",1
"Université Badji Mokhtar Annaba",1
"Université Aix-Marseille (AMU)",1
"Université Abderrahmane Mira - Bejaia",1
"Université „Valahia” de Targoviste",1
"Universitätsbibliothek Basel",1
"Universitatii Suceava",1
"Universitatii ""Constantin Brâncoveanu""",1
"Universitatea Dunarea de Jos",1
"Universitatea din Craiova",1
"Universitatea de Vest Vasile Goldis din Arad",1
"Universitatea ""Stefan cel Mare"" Suceava",1
"Universitatea ""Babes-Bolyai"" Cluj Napoca",1
"Universität Stuttgart",1
"Universität Salzburg",1
"Universitat Rovira i Virgili",1
"Universitat Politécnica de Valencia",1
"Universität Mainz",1
"Universität Heidelberg - Japanologie",1
"Universität Hamburg   Hiob Ludolf Centre for Ethiopian and Eritrean Studies   Asien-Afrika-Institut Alsterterrasse 1   D-20354 Hamburg Germany",1
"Universität Graz",1
"Universität Freiburg",1
"Universitat de Vic - Universitat Central de Catalunya",1
"Universitat de LLeida",1
"Universitat de Girona; Universitat Autònoma de Barcelona",1
"Universitat de Girona",1
"Universitat de Barcelona; Universitat Autònoma de Barcelona",1
"Universitat de Barcelona (UB), Geociències Barcelona (Geo3BCN), Institut de Diagnosi Ambiental i Estudis de l'Aigua (IDAEA), Universitat Autònoma de Barcelona (UAB)",1
"Universitat de Barcelona & Universitat Oberta de Catalunya",1
"Universität Basel",1
"Universitat Autònoma de Barcelona; Universitat Oberta de Catalunya",1
"Universitat Autònoma de Barcelona. Departament de Geografia",1
"Universitat Autònoma de Barcelona. Departament de Filosofia",1
"Universitat Autonoma de Barcelona. Departament de Filologia Espanyola",1
"Universitat Autonoma de Barcelona.  Facultat de Dret",1
"Universitat Autonoma de Barcelona.  Departament d'Art i Musica",1
"Universitat Autònoma de Barcelona ",1
"Universitas Yudharta Pasuruan",1
"Universitas Wiralodra",1
"Universitas Winaya Mukti",1
"Universitas Wahid Hasyim",1
"Universitas Timor",1
"Universitas Tanjungpura Pontianak",1
"Universitas Swadata Gunung Djati",1
"Universitas Sultan Agung Semarang",1
"Universitas Sultan Agneg Tirtayasa",1
"Universitas Studiorum",1
"Universitas Singaperbangsa Karawang",1
"Universitas Siliwang",1
"Universitas Sebelas Maret, Faculty of Agriculture",1
"Universitas Sarjanawiyata Tamansiswa",1
"Universitas Riau",1
"Universitas Prof. Dr. Hazairin SH",1
"Universitas Pendidikan Mandalika",1
"Universitas Pendidikan Indonesia, Fakultas Pendidikan Ilmu Pengetahuan Sosial UPI",1
"Universitas Pembangunan Nasional Veteran Yogyakarta",1
"Universitas Pembangunan Nasional Veteran Jakarta",1
"Universitas Pattimura, Fakultas Hukum",1
"Universitas Papua",1
"Universitas Pahlawan Tuanku Tambusai",1
"Universitas Padjajaran",1
"Universitas Nusantara PGRI Kediri ",1
"Universitas Nasional Jakarta",1
"Universitas Nahdlatul Ulama Sidoarjo",1
"Universitas Nahdlatul Ulama Blitar",1
"Universitas Muslim Indonesia",1
"Universitas Musamus, Faculty of Teacher Training and Education",1
"Universitas Muhammdiyah Magelang",1
"Universitas Muhammadiyah Tangerang",1
"Universitas Muhammadiyah Sumatera Utara",1
"UNIVERSITAS MUHAMMADIYAH MATARAM",1
"Universitas Muhammadiyah Makassar",1
"Universitas Muhammadiyah Gorontalo",1
"Universitas Muhammadiyah",1
"Universitas Mercu Buana Jakarta",1
"Universitas Medan Area, Fakultas Ilmu Sosial dan Ilmu Politik",1
"Universitas Maritim Raja Ali Haji",1
"universitas malikussaleh",1
"Universitas Maarif Hasyim Latif",1
"Universitas Kuningan",1
"Universitas Kristen Duta Wacana",1
"Universitas Klabat ",1
"Universitas Katolik Indonesia Atma Jaya, Tokyo University of Foreign Studies",1
"Universitas Jenderal Achmad Yani",1
"Universitas Janabadra",1
"Universitas IVET",1
"Universitas Ivet",1
"Universitas Islam Sultan Agung, Semarang",1
"Universitas Islam Sultan Agung, Doctoral Program of Law Science Faculty",1
"Universitas Islam Sultan Agung Semarang",1
"Universitas Islam Riau (UIR) Press",1
"Universitas Islam Negeri Sunan Kalijaga",1
"Universitas Islam Negeri Sumatera Utara",1
"Universitas Islam Negeri Raden Fatah ",1
"Universitas Islam Negeri Maulana Malik Ibrahim Malang",1
"Universitas Islam Negeri Mataram",1
"Universitas Islam Negeri Malik Ibrahim",1
"Universitas Islam Negeri (UIN) Mataram",1
"Universitas Islam Negeri (UIN)",1
"Universitas Islam Negeri",1
"Universitas Islam Malang",1
"Universitas Islam Kalimantan MAB Banjarmasin",1
"Universitas Islam Darul Ulum Lamongan",1
"Universitas Hamzanwadi",1
"Universitas Dr Soetomo",1
"Universitas Brawijaya, Fakultas Teknologi Pertanian",1
"Universitas Bosowa",1
"Universitas Bina Sarana Informatika, LPPM",1
"Universitas Bangka Belitung, Fakultas Ekonomi",1
"Universitas Bakrie",1
"universitas atma jaya yogyakarta, fakultas hukum",1
"Universitas Ahmad Dahlan ",1
"Universitas Advent Indonesia",1
"Universitas 17 Agustus 1945 (UNTAG) Semarang",1
"Universitaria Publishing House",1
"Universitaria Press Craiova",1
"Universitaria Católica del Norte",1
"Università Mediterranea di Reggio Calabria",1
"Università di Parma",1
"Università di Genova ",1
"Università Degli Studi Guglielmo Marconi",1
"Università degli Studi di Verona",1
"Università degli studi di Trento",1
"Università degli Studi di Palermo",1
"Università degli studi di Napoli ""L'Orientale""",1
"Università degli Studi di Bergamo",1
"Università degli studi di Bergamo",1
"Università Carlo Cattaneo LIUC",1
"Universidade Vale do Rio Verde",1
"Universidade Tuiuti do Paraná",1
"Universidade Severino Sombra",1
"Universidade Salgado de Oliveira",1
"Universidade Regional do Noroeste do Estado do Rio Grande do Sul",1
"Universidade Regional de Blumenau",1
"Universidade Potiguar",1
"Universidade Positivo",1
"Universidade Portucalense",1
"Universidade Óscar Ribas",1
"Universidade Metropolitana de Santos",1
"Universidade Luterana do Brasil",1
"Universidade La Salle",1
"Universidade FUMEC",1
"Universidade Federel Rural do Rio de Janeiro;  Universidade Federal da Bahia; Universidade Federal de Sergipe;  Universidade Federal do Mato Grosso; Universidade Federal de Pelotas",1
"Universidade Federal Santa Catarina",1
"Universidade Federal Rural do Semi-Árido",1
"Universidade Federal Rural do Semi-árido",1
"Universidade Federal Rural do Rio de Janeiro, Instituto Três Rios",1
"Universidade Federal Rural do Rio de Janeiro ",1
"Universidade Federal Rural da Amazônia (UFRA)",1
"Universidade Federal Fluminense (UFF) & Universidade Federal do Rio de Janeiro (UFRJ)",1
"Universidade Federal Fluminense-UFF",1
"Universidade Federal dos Vales do Jequitinhonha e Mucuri",1
"Universidade Federal do Triângulo Mineiro",1
"Universidade Federal do Sul e Sudesta do Pará",1
"Universidade Federal do Sul da Bahia",1
"Universidade Federal do Rio Grande do Sul. Faculdade de Odontologia",1
"Universidade Federal do Rio Grande do Norte ",1
"Universidade Federal do Pará (UFPA)",1
"Universidade Federal do Oeste da Bahia",1
"Universidade Federal do Espírito Santo ",1
"Universidade Federal do Espírito",1
"Universidade Federal do Amazonas",1
"Universidade Federal do Amapá (UNIFAP)",1
"Universidade Federal do Acre",1
"Universidade Federal de Viçosa (UFV)",1
"Universidade Federal De Viçosa",1
"Universidade Federal de Santa Maria (UFSM)",1
"Universidade Federal de Santa Catarina, Programa de Pós Graduação em Enfermagem",1
"Universidade Federal de Santa Catarina, Programa de Pós-Graduação em Linguística",1
"Universidade Federal de Santa Catarina, Programa de Pós-graduação em Linguística",1
"Universidade Federal de Roraima, Centro de Ciência e Tecnologia",1
"Universidade Federal de Rondonópolis",1
"Universidade Federal de Ouro Preto (UFOP); Universidade Federal do Estado do Rio de Janeiro (UNIRIO)",1
"Universidade Federal de Ouro Preto ",1
"Universidade Federal de Ouro Preto",1
"Universidade Federal de Minas Gerais, Universidade Federal de São João del-Rei, Universidade Federal de Uberlândia",1
"Universidade Federal de Minas Gerais, Escola de Ciência da Informação",1
"Universidade Federal de Minas Gerais ",1
"Universidade Federal de Minas de Gerais",1
"Universidade Federal de Mato Grosso",1
"Universidade Federal de Goiás ",1
"Universidade Federal de Goias",1
"Universidade Federal de Alfenas",1
"Universidade Federal de Alagoas;	Universitat de Girona",1
"Universidade Federal da Integração Latino-Americana",1
"Universidade Federal da Bahia - Faculdade de Filosofia e Ciências Humanas - Centro de Recursos Humanos",1
"Universidade Fedal do Oeste do Pará",1
"Universidade Estadual Vale do Acaraú",1
"Universidade Estadual Paulista, Pró-Reitoria de Extensão Universitária",1
"Universidade Estadual Paulista Julio de Mesquita Filho",1
"Universidade Estadual Paulista ",1
"Universidade Estadual Norte Fluminense Darcy Ribeiro",1
"Universidade Estadual do Tocantins",1
"Universidade Estadual do Suodeste da Bahia ",1
"Universidade Estadual do Rio de Janeiro (UERJ) , Universidade Aberta a Terceira Idade (UnAti)",1
"Universidade Estadual do Oeste do Paraná ",1
"Universidade Estadual do Norte do Paraná ",1
"Universidade Estadual do Norte do Paraná",1
"Universidade Estadual do Centro-Oeste",1
"Universidade Estadual de Santa Cruz",1
"Universidade Estadual de Ponta Grossa ",1
"Universidade Estadual de Maringá ",1
"Universidade Estadual de Londrina ",1
"Universidade Estadual de Goiás, campus Inhumas",1
"Universidade Estadual de Feira de Santana",1
"Universidade Estadual de Alagoas",1
"Universidade Estácio de Sá",1
"Universidade do Vale do Sapucaí- Univás",1
"Universidade do Vale do Paraíba",1
"Universidade do Vale do Itajaí",1
"Universidade do Porto, Faculdade de Engenharia (FEUP)",1
"Universidade do Porto ",1
"Universidade do Minho & Universidade de Vigo",1
"Universidade do Grande Rio",1
"Universidade do Extremo Sul Catarinense",1
"Universidade do Estado do Rio de Janeiro (UERJ)",1
"Universidade do Estado do Rio de Janeiro ",1
"Universidade do Estado de Minas Gerais",1
"Universidade do Estado da Bahia (UNEB)",1
"Universidade do Algarve",1
"Universidade do  Porto ",1
"Universidade de Sorocaba",1
"Universidade de São Paulo, Museu Paulista",1
"Universidade de São Paulo, Letras e Ciências Humanas",1
"Universidade de São Paulo, Faculdade de Filosofia, Letras e Ciências Humanas",1
"Universidade de Sâo Paulo",1
"Universidade de São Francisco",1
"Universidade de Santa Cruz do Sul (UNISC)",1
"Universidade de Santa Cruz do Sul ",1
"Universidade de Lisboa ",1
"Universidade de Campinas",1
"Universidade de Brasilia",1
"Universidade de Aveiro",1
"Universidade da Região de Joinville (Univille)",1
"Universidade da Madeira (UMa)",1
"Universidade da FUMEC",1
"Universidade da Beira Interior, Portugal (UBI) & Universidade Estadual de Campinas, Brasil (UNICAMP)",1
"Universidade Cruzeiro do Sul",1
"Universidade Comunitária da Região de Chapecó",1
"Universidade Cidade de São Paulo (UNICID)",1
"Universidade Católica Portuguesa, Instituto de Gestão e das Organizações da Saúde",1
"Universidade Católica Portuguesa, Instituto de Ciências da Saúde",1
"Universidade Católica Portuguesa, Faculdade de Ciências Humanas, Centro de Estudos de Filosofia",1
"Universidade Católica Portuguesa",1
"Universidade Católica de Petrópolis",1
"Universidade Católica de Pernambuco (UNICAP)",1
"Universidade Católica de Brasília ",1
"Universidade Católica de Brasília",1
"Universidade Autónoma de Lisboa",1
"Universidade Alto Vale do Rio do Peixe",1
"Universidade Aberta",1
"Universidad Vereacruzana",1
"Universidad Tecnologica Nacional",1
"Universidad Tecnologica Israel",1
"Universidad Tecnológica Equinoccial",1
"Universidad Tecnológica ECOTEC",1
"Universidad Tecnológica de La Habana, José Antonio Echeverría",1
"Universidad Tecnológica de La Habana José Antonio Echeverría",1
"Universidad Tecnológica de Chile INACAP",1
"Universidad Técnica Particular de Loja",1
"Universidad Técnica Estatal de Quevedo",1
"Universidad Técnica de Cotopaxi",1
"Universidad Técnica de Babahoyo",1
"Universidad Simón Bolivar ",1
"Universidad Señor de Sipán S.A.C. ",1
"Universidad San tomas ",1
"Universidad San Martín de Porres",1
"Universidad San Ignacio de Loyola",1
"Universidad San Gregorio",1
"Universidad San Francisco de Quito USFQ",1
"Universidad San Francisco de Quito ",1
"Universidad Regional Autónoma de Los Andes-Extensión Santo Domingo",1
"Universidad Rafael Belloso Chacín",1
"Universidad Privada Boliviana",1
"Universidad Privada Antonio Guillermo Urrelo",1
"Universidad Privada Antenor Orrego",1
"Universidad Pontificia de Salamanca; Universidad de Extremadura",1
"Universidad Politécnica de Madrid",1
"Universidad Politécnica de Guanajuato",1
"Universidad Politécnica de Cartagena",1
"Universidad Peruana de Ciencias Aplicadas",1
"Universidad Península de Santa Elena",1
"Universidad Panamericana",1
"Universidad Pablo de Olavide de Sevilla",1
"Universidad ORT Uruguay",1
"Universidad Nebrija",1
"Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas",1
"Universidad Nacional Santiago Antúnez de Mayolo",1
"Universidad Nacional San Martín",1
"Universidad Nacional Rosario",1
"Universidad Nacional Pedro Henríquez Ureña",1
"Universidad Nacional Hermilio Valdizán de Huánuco",1
"Universidad Nacional Hermilio Valdizán",1
"Universidad Nacional Experimental Rafael María Baralt",1
"Universidad Nacional del Centro del Perú ",1
"Universidad Nacional del Centro del Perú",1
"Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas, Instituto de Estudios Histórico-Sociales",1
"Universidad Nacional del Altiplano de Puno",1
"Universidad Nacional de Villa María",1
"Universidad Nacional de Tucumán",1
"Universidad Nacional de Salta, Facultad de Humanidades, Centro Promocional de las Investigaciones en Historia y Antropología",1
"Universidad Nacional de Salta",1
"Universidad Nacional de Rosario ",1
"Universidad Nacional de Luján",1
"Universidad Nacional de Lomas de Zamora",1
"Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social ",1
"Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social",1
"Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación",1
"Universidad Nacional de La Plata, Facultad de Ciencias Agrarias y Forestales",1
"Universidad Nacional de La Plata, Facultad de Bellas Artes",1
"Universidad Nacional de la Plata",1
"Universidad Nacional de la Patagonia Austral",1
"Universidad Nacional de La Pampa. Facultad de Ciencias Humanas",1
"Universidad Nacional de La Pampa, Facultad de Ciencias Humanas",1
"Universidad Nacional de La Matanza",1
"Universidad Nacional de Itapua",1
"Universidad Nacional de General Sarmiento",1
"Universidad Nacional de Entre Ríos. Facultad de Ciencias de la Educación",1
"Universidad Nacional de Entre Ríos",1
"Universidad Nacional de Educación a Distancia",1
"Universidad Nacional de Cuyo. Facultad de Filosofía y Letras. Insstituto de Historia del Arte",1
"Universidad Nacional de Cuyo",1
"Universidad Nacional de Córdoba, Facultad de Matemática, Astronomía, Física y Computación",1
"Universidad Nacional de Colombia, Sede Medellín",1
"Universidad Nacional de Avellaneda",1
"Universidad Nacional de Asunción ",1
"Universidad Nacional Autónoma de Nicaragua, Managua",1
"Universidad Nacional Autónoma de Nicaragua",1
"Universidad Nacional Autónoma de México ",1
"Universidad Nacional Autónoma de Mexico ",1
"Universidad Nacional Agraria",1
"Universidad Nacional Abierta y a Distancia",1
"Universidad Minuto de Dios",1
"Universidad Miguel Hernández de Elche",1
"Universidad Miguel Hernández",1
"Universidad Metropolitana de Ecuador",1
"Universidad Metropolitana",1
"Universidad Mariana",1
"Universidad Loyola",1
"Universidad Le Cordon Bleu",1
"Universidad Laica Vicente Rocafuerte de Guayaquil",1
"Universidad La Gran Colombia",1
"Universidad Juárez Autónoma de Tabasco",1
"Universidad Internacional de La Rioja (UNIR)",1
"Universidad Industrial de Santander ",1
"Universidad Icesi",1
"Universidad Gabriela Mistral. Centro de Estudios Medievales",1
"Universidad Francisco Gavidia ",1
"Universidad Francisco de Vitoria",1
"Universidad Estatal de Bolívar",1
"Universidad Estatal a Distancia (UNED)",1
"Universidad Estatal a Distancia ",1
"Universidad Estatal a Distancia",1
"Universidad Espíritu Santo",1
"Universidad EIA",1
"Universidad Ean",1
"Universidad EAFIT ",1
"Universidad Diego Portales",1
"Universidad del Zulia ",1
"Universidad del Valle ",1
"Universidad del Sinú",1
"Universidad del Salvador",1
"Universidad del Rosario; Universidad de los Andes de Venezuela; Universidad Complutense de Madrid",1
"Universidad del Rosario, Bogota",1
"Universidad del Quindio",1
"Universidad del País Vasco (UPV/EHU)",1
"Universidad del Cono Sur de las Américas ",1
"Universidad del Cauca ",1
"Universidad del Cauca",1
"Universidad del Bosque",1
"Universidad del Azuay",1
"Universidad del Atlántico ",1
"Universidad del Atlántico",1
"Universidad de Zulia",1
"Universidad de Valencia. Departamento de Metodología de las Ciencias del Comportamiento",1
"Universidad de Valencia ",1
"Universidad de Tarapacá",1
"Universidad de Sucre",1
"Universidad de Santiago de Compostela",1
"Universidad de Santiago",1
"Universidad de San Sebastián",1
"Universidad de San Carlos de Guatemala",1
"Universidad de San Buenaventura ",1
"Universidad de Playa Ancha",1
"Universidad de Piura",1
"Universidad de Pinar del Río ""Hermanos Saíz Montes de Oca"" ",1
"Universidad de Oviedo ",1
"Universidad de Oviedo",1
"Universidad de Murcia ",1
"Universidad de Moa ""Dr. Antonio Núñez Jiménez""",1
"Universidad de Medellín",1
"Universidad de Matanzas",1
"Universidad de los Llanos",1
"Universidad de los Andes, Bogotá",1
"Universidad de los Andes ",1
"Universidad de las Islas Baleares",1
"Universidad de las Fuerzas Armadas ESPE",1
"Universidad de las Ciencias Médicas de Cienfuegos",1
"Universidad de las Ciencias Informáticas (UCI) ",1
"Universidad de las Américas",1
"Universidad de La Serena",1
"Universidad De La Salle Bajío",1
"Universidad de La Salle",1
"Universidad de la Salle",1
"Universidad de La Sabana ",1
"Universidad de la Sabana",1
"Universidad de la República ",1
"Universidad de La Habana; Sociedad Cubana de Física",1
"Universidad de La Habana, Facultad de Filosofía e Historia",1
"Universidad de la Habana",1
"Universidad de Investigación y Desarrollo",1
"Universidad de Guantánamo",1
"Universidad de Costa Rica ",1
"Universidad de Córdova; Consejo Nacional de Investigaciones Científicas y Técnicas",1
"Universidad de Cordoba",1
"Universidad de Concepción.",1
"Universidad de Ciencias y Artes de Chiapas",1
"Universidad de Ciencias Pedagógicas ""Pepito Tey""; Editorial Académica Universitaria",1
"Universidad de Ciencias Médicas Guantánamo",1
"Universidad de Ciencias Médicas de Villa Clara “Dr. Serafín Ruíz de Zárate Ruíz""",1
"Universidad de Ciencias Médicas de Villa Clara",1
"Universidad de Ciencias Médicas de Sancti Spíritus",1
"Universidad de Ciencias Médicas de Pinar del Río",1
"Universidad de Ciencias Médicas de Las Tunas",1
"Universidad de Ciencias Médicas de La Habana",1
"Universidad de Ciencias Médicas de Granma",1
"Universidad de Ciencias Médicas de Camagüey",1
"Universidad de Ciencias Informáticas",1
"Universidad de Ciencias de la Cultura Física y el Deporte “Manuel Fajardo”",1
"Universidad de Ciego de Ávila Máximo Gómez Báez",1
"Universidad de Chile. Instituto de Estudios Internacionales",1
"Universidad de Chile, Departamento de Geografía",1
"Universidad de Castilla, La Mancha",1
"Universidad de Cantabria",1
"Universidad de Buenos Aires. Facultad de Ciencias Económicas. Centro de Estudios Económicos de la Empresa y el Desarrollo",1
"Universidad de Buenos Aires. Facultad de Ciencias Económicas",1
"Universidad de Buenos Aires. Facultad de Arquitectura, Diseño y Urbanismo",1
"Universidad de Buenos Aires, Facultad de Filosofía y Letras",1
"Universidad de Buenos Aires, Facultad de Ciencias Económicas",1
"Universidad de Almeria",1
"Universidad de Alcalá de Henares",1
"Universidad de Alcalá",1
"Universidad Continental de Ciencias e Ingeniería",1
"Universidad Complutense",1
"Universidad Colegio Mayor Nuestra Señora del Rosario",1
"Universidad Científica del Perú",1
"Universidad CEU San Pablo",1
"Universidad César Vallejo ",1
"Universidad Centroccidental ""Lisandro Alvarado"" - UCLA",1
"Universidad Centroamericana de Managua",1
"Universidad Central Marta Abreu de Las Villas",1
"Universidad Central de Chile",1
"Universidad Católica San Pablo",1
"Universidad Católica San Antonio de Murcia ",1
"Universidad Católica del Uruguay ",1
"Universidad Católica del Norte",1
"Universidad Católica de Valparaíso",1
"Universidad Católica de Oriente",1
"Universidad Católica de la Santísima Concepción",1
"Universidad Católica Boliviana",1
"Universidad Católica ""Nuestra Señora de la Asunción"" ",1
"Universidad Carlos III de Madrid",1
"Universidad Camilo José Cela",1
"Universidad Autónoma Metropolitana Unidad Iztapalapa",1
"Universidad Autonoma Metropolitana",1
"Universidad Autónoma Indígena de México",1
"Universidad Autonoma del Estado de México",1
"Universidad Autonoma del Estado de Mexico",1
"Universidad Autónoma del  Estado de México ",1
"Universidad Autonoma de Yucatan",1
"Universidad Autónoma de Tamaulipas",1
"Universidad Autónoma de Sinaloa",1
"Universidad Autónoma de Nuevo León, Facultad de Economía ",1
"Universidad Autónoma de Manizales",1
"Universidad Autónoma de Madrid",1
"Universidad Autónoma de Chile",1
"Universidad Autónoma de Chihuahua",1
"Universidad Autonoma de Bucaramanga",1
"Universidad Autonoma de Baja California",1
"Universidad Autónoma de Asunción",1
"Universidad Austral Argentina",1
"Universidad Andina del Cusco ",1
"Universidad Anáhuac Oaxaca",1
"Universidad Americana",1
"Universidad Agraria de la Habana (UNAH) ",1
"Universidad Agraria de La Habana",1
"Universidad Adolfo Ibáñez",1
"Universidad Abierta Interamericana ",1
"Universidad Abierta Interamericana",1
"Universia",1
"Univerity of Pitesti",1
"Univeristy of Tabriz",1
"Univeristy of Physical Education in Krakow",1
"Univeristy of Malaya",1
"Univeristy of Kurdistan Hewler",1
"Univerisitas Negeri Yogyakarta",1
"Univerisitas Negeri Gorontalo",1
"UNIVALI",1
"Unité Mixte de Recherche  8504 Géographie-cités",1
"UNITAR International University",1
"Unit Riset dan Publikasi Ilmiah FTK UIN Raden Intan Lampung",1
